"#","Timestamp","Cover Art","Played","Album Artist","Album","Artist","Title","Year","Rating","Genre","Composer","Grouping","Track #","Key","BPM","Duration","Bitrate","ReplayGain","Type","Date Added","Location","Comment"
"1","2020-02-15T23:16:06","0","(0)","","Verve MGV4008-2 Mx: 20260-1","Ella Fitzgerald","It Don't Mean A Thing If It Ain't Got That Swing","","","","","","","D♯m/E♭m","281.13870136","04:15","320","-5.04479 dB","mp3","2019-06-15T22:00:15","../Music/swing/Ella Fitzgerald/Ella Fitzgerald/It Don't Mean A Thing If It Ain't Got That Swing.mp3",""
"2","2020-02-15T23:16:06","36099","(0)","Reverent Juke","We Are The Juke","Reverent Juke","Jammin' the Blues","2019","","Swing","Lester Young","bal, lindy, charleston","9","Fm","255.42754491","02:06","320","-5.37209 dB","mp3","2019-11-10T01:05:55","../Music/swing/Reverent Juke/09 - Jammin' the Blues.mp3",""
"3","2020-02-15T23:16:06","0","(0)","","09571-2 Victor 36205","Benny Goodman And His Orchestr","Sing, Sing, Sing (pt 1) (Intro","1937","","Jazz","","","","Dm","232.40487016","04:07","224","-0.562066 dB","mp3","2019-06-15T22:00:06","../Music/swing/other/VIC09571-2.mp3",""
"4","2020-02-15T23:16:06","36099","(0)","Reverent Juke","We Are The Juke","Reverent Juke","Diga Diga Dou","2019","","Swing","","charleston, lindy, bal","7","Dm","230.95180839","02:32","851","-4.26943 dB","flac","2019-11-10T01:05:54","../Music/swing/Reverent Juke/07 - Diga Diga Dou.flac",""
"5","2020-02-15T23:16:06","0","(0)","","Verve MGV4009-2 Mx: 21777-9","Ella Fitzgerald","Squatty Roo","","","","","lindy","","B","216.19506509","03:39","320","-2.27881 dB","mp3","2019-06-15T22:00:14","../Music/swing/Ella Fitzgerald/Ella Fitzgerald/Squatty Roo.mp3",""
"6","2020-02-15T23:16:06","36099","(1)","Reverent Juke","We Are The Juke","Reverent Juke","Bugle Blues","2019","","Swing","","lindy, charleston, bal","1","D♭","204.4343573","04:07","849","-2.5223 dB","flac","2019-11-10T01:05:57","../Music/swing/Reverent Juke/01 - Bugle Blues.flac",""
"7","2020-02-15T23:16:06","36099","(0)","Reverent Juke","We Are The Juke","Reverent Juke","Bugle Blues","2019","","Swing","Count Basie","","1","D♭","203.04851593","04:07","320","-2.5236 dB","mp3","2019-11-10T01:05:52","../Music/swing/Reverent Juke/01 - Bugle Blues.mp3",""
"8","2020-02-15T23:16:06","0","(0)","","","","Flying Home","","","","","lindy/charleston","","A♭","196.50955993","03:12","224","-0.583872 dB","mp3","2019-06-15T22:00:05","../Music/swing/updated/Flying Home.mp3",""
"9","2020-02-15T23:16:06","36099","(0)","Reverent Juke","We Are The Juke","Reverent Juke","Castle Rock - Live","2019","","Swing","","lindy, charleston","11","A♭","193.08654762","05:45","871","-4.81229 dB","flac","2019-11-10T01:05:51","../Music/swing/Reverent Juke/11 - Castle Rock - Live.flac",""
"10","2020-02-15T23:16:06","0","(1)","","Unknown album (08/01/2013 16:56:06)","Ali A and Vieux Carre","He aint got Rhythm","2013","","Other","","lindy","1","D♭","188","03:05","128","-4.54013 dB","mp3","2019-06-15T22:00:05","../Music/swing/Ali Affleck/03 He Aint got Rhythm.mp3",""
