artist,title,rating
,BLU038276,0
,BLU102407,0
,BLU87645,2
,ARC15020,0
,BLU101646,0
,Coucou,5
,"09 Please Don't Talk About Me When I",4
,"Swingin' On Nothing",0
,Perdido,5
,"Flying Home",5
,"All That Meat and No Potatoes",1
,"Shorty's got to go",5
,On-the-sunny-side-of-the-street,0
,"Good Queen Bess",3
,"Chattanooga Choo Choo",1
,Massachusetts,5
,COM24406,4
,BLU048487,4
,V-D144-B,4
,BLU057612,3
,BLU053131,3
,BLU061265,4
,BLU055580,4
,BLU048965,3
,BLU038139,3
,BLU068241,3
,VIC072233,3
,BLU047068,4
,BLU067630,5
,BLU068240,2
,BLU035731,4
,Mon036878,1
,BLU027410,2
,BLU041587,3
,BLU058174,3
,BLU043354,3
,BLU068791,4
,"If you wish upon a star",4
,Mon042926,3
,BLU064474,3
,BLU067628,3
,BLU047095,4
,BLU042662,4
,BLU043975,4
"",ELX2019Performance_Sep13_final_version,0
"",COLCO41853,0
"",COLCO42653,0
"",COLCO42953,0
"",COLCO42652,0
"",COLCO42650,0
"",DEC69212,0
"",RiOKe8949,0
"""Fats"" Waller And His Piano","Waiting At The End Of The Road",1
"''Fats'' Waller And His Rhythm","Dream Man (Make Me Dream Some More)",0
03,"Exactly Like You",5
09,Coucou,1
ARC19243,1,3
ARC19244,1,4
"Adelaide Hall With Duke Ellington And His Famous Orchestra",Baby!,3
"Aimé Barelli","Flots Bleus",0
"Aimé Barelli","Flots Bleus",2
"Aimé Barelli","Flots Bleus",4
"Ali A and Vieux Carre","Am I Blue?",5
"Ali A and Vieux Carre","Miss Brown to you",5
"Ali A and Vieux Carre","He aint got Rhythm",5
"Ali Affleck","Louisiana Fairytale",5
"Ali Affleck","Lounging At the Waldorf",4
"Ali Affleck and The Copper Cats","La Vie en Rose",4
"Ali Affleck and The Copper Cats","Everybody Loves my Baby",4
"Ali Affleck and The Copper Cats","When I Get Low I Get High",5
"Ali Affleck and The Copper Cats","Egyptian Ella",4
"Ali Affleck and The Copper Cats","Monday Date",4
"Ali Affleck and The Copper Cats","It's a Sin to Tell a Lie",4
"Ali Affleck and The C|opper Cats","Please Don't Talk About Me",5
"Andre Ekyan",Margie,0
"Andre Ekyan","A Pretty Girl Is Like A Melody",5
"Andre Ekyan","Pennies From Heaven",0
"Andre Ekyan","De Nulle Part (Out Of Nowhere)",3
"Andre Ekyan",Sugar,4
BRU21240,1,3
"Barney Bigard And His Jazzopaters",Caravan,0
"Basie's Bad Boys","Love Me Or Leave Me",0
"Basie's Bad Boys","Going To Chicago",0
"Basie's Bad Boys","I Ain't Got Nobody",0
"Basie's Bad Boys","Live And Love Tonight",3
"Benny Goodman And His Orchestr","Why Don't You Do Right ?",3
"Benny Goodman And His Orchestr","Sing, Sing, Sing (pt 1) (Intro",5
"Bessie Smith","Hustlin' Dan",0
"Bessie Smith","Devil's Gonna Git You",0
"Bessie Smith","Baby Doll",0
"Bessie Smith","Sam Jones Blues",0
"Bessie Smith","Whoa, Tillie ! Take Your Time",0
"Bessie Smith","Work House Blues",0
"Bessie Smith","Oh Daddy Blues",0
"Bessie Smith","I've Got What It Takes (But It",0
"Bessie Smith","J.C.Holmes Blues",0
"Bessie Smith","Mistreatin' Daddy",0
"Bessie Smith","Preachin' The Blues",0
"Bessie Smith","Love Me Daddy Blues",0
"Bessie Smith","Mountain Top Blues",0
"Bessie Smith","My Sweetie Went Away",0
"Bessie Smith Acc By Buck And H","Take Me For A Buggy Ride",0
"Bessie Smith Acc By Buck And H","Gimme A Pigfoot",0
"Bessie Smith Acc By Henderson'","Cake-Walking Babies From Home",0
"Bessie Smith Acc By Her Blue B","Trombone Cholly",0
"Bessie Smith Acc By Her Down H","Aggravatin' Papa",0
"Bill Johnson and his Musical Notes;Bill Johnson;Lucky Millender","Shorty's Got to Go",5
"Billie Holiday","All of me",5
"Billie Holiday",COL23468,5
"Billie Holiday",DEC24638x,5
"Billie Holiday & Eddie Heywood","He's Funny That Way",3
"Billie Holiday And Her Orchest","I Wish I Had You",3
"Billie Holiday And Her Orchest","Without Your Love",2
"Billie Holiday And Her Orchest","I'm All For You",3
"Billie Holiday And Her Orchest","You're Just A No Account",4
"Billie Holiday And Her Orchest","A Sailboat In The Moonlight",2
"Billie Holiday And Her Orchest","Night And Day",3
"Billie Holiday And Her Orchest","That's All I Ask Of You",3
"Billie Holiday And Her Orchest","You Go To My Head",3
"Billie Holiday And Her Orchest","The Moon Looks Down And Laughs",3
"Billie Holiday And Her Orchest","It's The Same Old Story",3
"Billie Holiday And Her Orchest","Ghost Of Yesterday",2
"Billie Holiday And Her Orchest","Everything Happens For The Bes",5
"Billie Holiday And Her Orchest","Body And Soul",3
"Billie Holiday And Her Orchest","Time On My Hands",2
"Billie Holiday And Her Orchest","Havin' Myself A Time",4
"Billie Holiday And Her Orchest","Forget If You Can",2
"Billie Holiday With Billy Kyle","Baby, I Don't Cry Over You",5
"Billie Holiday With Bob Haggar","You Better Go Now",4
"Billie Holiday With Eddie Heyw","Georgia On My Mind",3
"Billie Holiday With Eddie Heyw","I'm In A Low Down Groove",4
"Billie Holiday With Gordon Jen","Somebody's On My Mind",4
"Billie Holiday With Orchestra",Yesterdays,2
"Bud Powell Modernists","Bouncing With Bud",0
"Bud Powell Modernists","The Wail",0
"Bud Powell's Modernists","Dance Of The Infidels",0
CBS22281,2,1
CBS24249,1,2
"CHICK WEBB & HIS ORCH",UNDECIDED,0
"CHICK WEBB & HIS ORCHESTRA","ROCK IT FOR ME",5
"CHICK WEBB & HIS ORCHESTRA","A-TISKET, A TASKET",1
"CHICK WEBB & HIS ORCHESTRA","MY HEART BELONGS TO DADDY",3
COL19537,1,3
COLW143568,1,0
CON14122,1,0
"COUNT BASIE & HIS ORCH",BROADWAY,0
"COUNT BASIE & HIS ORCH.","LITTLE PONY",0
"COUNT BASIE & HIS ORCHESTRA","PATIENCE AND FORTITUDE",4
"California Ramblers","Chris And His Gang",4
"Charlie Barnet And His Glen Is","When Did You Leave Heaven ?",4
"Charlie Barnet And His Glen Is","Bye-Bye, Baby",3
"Charlie Barnet And His Glen Is","Long Ago And Far Away",4
"Charlie Barnet And His Glen Is","A Star Fell Out Of Heaven",3
"Charlie Barnet And His Glen Is","Empty Saddles",4
"Charlie Barnet And His Glen Is",Always,3
"Charlie Barnet And His Orchest","Shame On You",0
"Charlie Barnet And His Orchest","Night Song",4
"Charlie Barnet And His Orchest","720 In The Books",3
"Charlie Barnet And His Orchest","Leapin' At The Lincoln",3
"Charlie Barnet And His Orchest","Claude Reigns",3
"Charlie Barnet And His Orchest","A New Moon And An Old Serenade",5
"Charlie Barnet And His Orchest","Miss Annabelle",3
"Charlie Barnet And His Orchest","Southland Shuffle",0
"Charlie Barnet And His Orchest","Girl With The Pigtails In Her",4
"Charlie Barnet And His Orchest","I'm Prayin' Humble",0
"Charlie Barnet And His Orchest","The Last Jump (A Jump To End A",0
"Charlie Barnet And His Orchest","You're Lonely And I'm Lonely",3
"Charlie Barnet And His Orchest","Castle Of Dreams",0
"Charlie Barnet And His Orchest","You've Got Me Out On A Limb",0
"Charlie Barnet And His Orchest","You Do Darndest Things, Baby",4
"Charlie Barnet And His Orchest","Fools Fall In Love",3
"Charlie Barnet And His Orchest","Growlin'",3
"Charlie Barnet And His Orchest","It's Love I'm After",0
"Charlie Barnet And His Orchest","Don't Be Afraid To Tell Your M",4
"Charlie Barnet And His Orchest","Swing Street Strut",4
"Charlie Barnet And His Orchest","East Side, West Side",0
"Charlie Barnet And His Orchest","On A Holiday",0
"Charlie Barnet And His Orchest",Skyliner,2
"Charlie Barnet And His Orchest","'Deed I Do",4
"Charlie Barnet And His Orchest","Two Hearts Are Better Than One",0
"Charlie Barnet And His Orchest","Thank Your Stars",4
"Charlie Barnet And His Orchest","Tin Roof Blues",0
"Charlie Barnet And His Orchest","Between 18th And 19th On Chest",4
"Charlie Barnet And His Orchest","When The Spirit Moves Me",3
"Charlie Barnet And His Orchest","Rainbow On The River",4
"Charlie Barnet And His Orchest","Castle Of Dreams",3
"Charlie Barnet And His Orchest","Flying Home",4
"Charlie Barnet And His Orchest","That's Right-I'm Wrong",0
"Charlie Barnet And His Orchest","I Get Along Without You Very W",0
"Charlie Barnet And His Orchest","Only A Rose",3
"Charlie Barnet And His Orchest","Harlem Speaks",0
"Charlie Barnet And His Orchest","Tappin' At The Tappa",0
"Charlie Barnet And His Orchest","Ebony Rhapsody",4
"Charlie Barnet And His Orchest","You've Got Me Voodoo'd",3
"Charlie Barnet And His Orchest","In A Mizz",4
"Charlie Barnet And His Orchest","Night After Night After You",0
"Charlie Barnet And His Orchest","The Gal From Joe's",4
"Charlie Barnet And His Orchest","He Walked Right In",4
"Charlie Barnet And His Orchest","Cement Mixer",4
"Charlie Barnet And His Orchest","When The Spirit Moves Me",0
"Charlie Barnet And His Orchest","Some Like It Hot",3
"Charlie Barnet And His Orchest","Take A Tip From The Whip-Poor-",0
"Charlie Barnet And Hist Orchestra","The Gal From Joe's",1
"Charlie Barnet and his Orchestra;Slim Gaillard;Bud Green","Jump Session",0
"Chet Baker & Gerry Mulligan","Love Me or Leave Me (1953)",2
"Chick Webb & His Orch. Feat. Ella Fitzgerald","One Side Of Me",3
"Chick Webb & His Orch. Feat. Ella Fitzgerald","Little White Lies",5
"Chick Webb & His Orch. Feat. Ella Fitzgerald","If Dreams Come True",2
"Chick Webb & His Orch. Feat. Ella Fitzgerald","The Dipsy Doodle",0
"Chick Webb & His Orch. Feat. Ella Fitzgerald","My Heart Belongs To Daddy",2
"Chick Webb & His Orch. Feat. Ella Fitzgerald",Undecided,0
"Chick Webb & His Orch. Feat. Ella Fitzgerald","Mcpherson Is Rehearsin' (To Swing)",0
"Chick Webb & His Orch. Feat. Ella Fitzgerald","A Tisket A Tasket",5
"Chick Webb & His Orch. Feat. Ella Fitzgerald","'t'ain't What You Do (It's The Way That Cha Do It)",4
"Chick Webb & His Orch. Feat. Ella Fitzgerald","I Let A Tear Fall In The River",4
"Chick Webb & His Orch. Feat. Ella Fitzgerald","Rock It For Me",1
"Chick Webb And His Orchestra","Rhythm And Romance",4
"Chick Webb And His Orchestra","Crying My Heart Out For You",0
"Chick Webb And His Orchestra","You Showed Me The Way",2
"Chick Webb And His Orchestra","That Rhythm Man",0
"Chick Webb And His Orchestra","Blues In My Heart",3
"Chick Webb And His Orchestra","Just A Simple Melody",4
"Chick Webb And His Orchestra","Go Harlem",0
"Chick Webb And His Orchestra","Who Ya Hunchin'?",5
"Chick Webb And His Orchestra","Blue Lou",0
"Chick Webb And His Orchestra","Holiday In Harlem",5
"Chick Webb And His Orchestra","Clap Hands ! Here Comes Charlie",3
"Chick Webb And His Orchestra","In The Groove At The Grove",3
"Chick Webb And His Orchestra","Don't Be That Way",0
"Chick Webb And His Orchestra With Ella Fitzgerald","Wacky Dust",4
"Chick Webb And His Orchestra With Ella Fitzgerald","Gotta Pebble In My Shoe",5
"Chick Webb And His Orchestra With Ella Fitzgerald","Pack Up Your Sins And Go To The Devil",0
"Chick Webb And His Orchestra With Ella Fitzgerald","F.D.R Jones",2
"Chick Webb And His Orchestra With Ella Fitzgerald","Heart Of Mine",4
"Chick Webb And His Orchestra With Ella Fitzgerald","It's Foxy",5
"Chick Webb And His Orchestra With Ella Fitzgerald","I Can't Stop Loving You",4
"Chick Webb And His Orchestra With Ella Fitzgerald","I Love Each Move You Make",4
"Chick Webb And His Orchestra With Ella Fitzgerald",Ella,5
"Chick Webb And His Orchestra With Ella Fitzgerald","Everybody Step",0
"Chick Webb And His Orchestra with Ella Fitzgerald","Macpherson Is Rehearsin'",0
"Chick Webb And His Orchestra with Ella Fitzgerald","I'm Just A Jitterburg",4
"Christian Wagner Et Son Orchestre","Pour Commencer",0
"Christian Wagner Et Son Orchestre","Pour Terminer",0
"Count Basie","When The Sun Goes Down",2
"Count Basie","9-20 Special",0
"Count Basie","Dupree Blues",0
"Count Basie & His Orch",Louisiana,0
"Count Basie & His Orch.","Moten Swing",0
"Count Basie & His Orch.","Blue Skies",3
"Count Basie (Piano)","How Long Blues",4
"Count Basie And His All-American Rhythm Section","Farewell Blues",0
"Count Basie And His Orchestra",Thursday,4
"Count Basie And His Orchestra","Playhouse No. 2 Stomp (Variations ""on I Got Rhythm"")",1
"Count Basie And His Orchestra","Bolero At The Savoy",2
"Count Basie And His Orchestra","Shorty George",0
"Count Basie And His Orchestra","Roseland Shuffle",0
"Count Basie And His Orchestra","If I Could Be With You One Hour Tonight",3
"Count Basie And His Orchestra","Futile Frustration",4
"Count Basie And His Orchestra","Harvard Blues",3
"Count Basie And His Orchestra","Ay Now",4
"Count Basie And His Orchestra","Texas Shuffle",0
"Count Basie And His Orchestra","Lester Leaps In",0
"Count Basie And His Orchestra","The Glory Of Love",0
"Count Basie And His Orchestra","Basie Boogie",3
"Count Basie And His Orchestra","Honeysuckle Rose",4
"Count Basie And His Orchestra","Rock A Bye Basie",0
"Count Basie And His Orchestra","Sub-Deb Blues",0
"Count Basie And His Orchestra","Evil Blues",3
"Count Basie And His Orchestra","Mine Too",0
"Count Basie And His Orchestra","Do You Wanna Jump, Children?",0
"Count Basie And His Orchestra",Cherokee,4
"Count Basie And His Orchestra","Miss Thing, Part 1",0
"Count Basie And His Orchestra","I Struck A Match In The Dark",3
"Count Basie And His Orchestra","Coming Out Party",0
"Count Basie And His Orchestra","Dark Rapture (Vocal Helen Humes)",4
"Count Basie And His Orchestra","Ready, Set, Go",4
"Count Basie And His Orchestra","Pennies From Heaven",0
"Count Basie And His Orchestra",South,0
"Count Basie And His Orchestra","Pound Cake",0
"Count Basie And His Orchestra","Song Of The Islands",3
"Count Basie And His Orchestra","Feedin' The Bean",4
"Count Basie And His Orchestra","Cherokee-Part Ii",0
"Count Basie And His Orchestra","Fiesta In Blue",3
"Count Basie And His Orchestra","One O'clock Jump",3
"Count Basie And His Orchestra","Jive At Five",5
"Count Basie And His Orchestra","Sing For Your Supper",4
"Count Basie And His Orchestra","My Buddy",4
"Count Basie And His Orchestra","Walking Slow Behind You",0
"Count Basie And His Orchestra","If I Didn't Care",0
"Count Basie And His Orchestra","H And J",0
"Count Basie And His Orchestra","Taxi War Dance",0
"Count Basie And His Orchestra",Topsy,0
"Count Basie And His Orchestra","Nobody Knows You When You're Down And Out",3
"Count Basie And His Orchestra","Rock-A-Bye Basie",0
"Count Basie And His Orchestra","Sent For You Yesterday",5
"Count Basie And His Orchestra","Boo Hoo",0
"Count Basie And His Orchestra","Something New",3
"Count Basie And His Orchestra","You Betcha My Life",3
"Count Basie And His Orchestra","Feather Merchant",2
"Count Basie And His Orchestra","More Than You Know",3
"Count Basie And His Orchestra","You Can Countoon Me",4
"Count Basie And His Orchestra",Volcano,0
"Count Basie And His Orchestra","Lopin'",0
"Count Basie And His Orchestra","London Bridge Is Fallin' Down",0
"Count Basie And His Orchestra","Between The Devil And The Deep Blue Sea (take 4)",3
"Count Basie And His Orchestra","Swinging At The Daisy Chain",0
"Count Basie And His Orchestra","Good Morning Blues",4
"Count Basie And His Orchestra","All Of Me",4
"Count Basie And His Orchestra","Wonderful Thing",0
"Count Basie And His Orchestra","The Blues I Like To Hear (Vocal J. Rushing)",3
"Count Basie And His Orchestra","Taps Miller",0
"Count Basie And His Orchestra","John's Idea",0
"Count Basie And His Orchestra","You And Your Love",3
"Count Basie And His Orchestra","I Can't Believe That You're In Love With Me",0
"Count Basie And His Orchestra","Riff Interlude",0
"Count Basie And His Orchestra","Exactly Like You",0
"Count Basie And His Orchestra",Platterbrains,0
"Count Basie And His Orchestra","Every Tub",4
"Count Basie And His Orchestra","Jumping At The Woodside",0
"Count Basie And His Orchestra","Our Love Was Meant To Be",3
"Count Basie And His Orchestra","Diggin' For Dex",0
"Count Basie And His Orchestra","Lonesome Miss Pretty",3
"Count Basie And His Orchestra","The Apple Jump",4
"Count Basie And His Orchestra","Your Red Wagon",4
"Count Basie And His Orchestra","If I Could Be With You",1
"Count Basie And His Orchestra","Just A Minute",0
"Count Basie And His Orchestra","Down For Double",0
"Count Basie And His Orchestra","For The Good Of The Country",0
"Count Basie And His Orchestra","Lady Be Good",0
"Count Basie And His Orchestra","And The Angels Sing",0
"Count Basie And His Orchestra","Tickle Toe",0
"Count Basie And His Orchestra","Moonlight Serenade",0
"Count Basie And His Orchestra","Listen My Children And You Shall Hear",0
"Count Basie And His Orchestra","Evil Blues (Vjimmy Rushing)",4
"Count Basie And His Orchestra","Guest In A Nest",4
"Count Basie And His Orchestra","Shoutin' Blues",5
"Count Basie And His Orchestra","Swinging The Blues",0
"Count Basie And His Orchestra",Sugar,5
"Count Basie And His Orchestra Vocal Hele Humes","My Heart Belongs To Daddy",3
"Count Basie And His Rhythm","Oh! Red",0
"Count Basie And His Rhythm","The Fives",2
"Count Basie And His Rhythm","Red Wagon",4
"Count Basie And His Rhythm","The Dirty Dozens",3
"Count Basie's Blue Five","Boogie Woogie",3
"DUKE ELLINGTON & HIS ORCH","GOLDEN FEATHER",2
"DUKE ELLINGTON & HIS ORCH",CHLOE,2
"DUKE ELLINGTON & HIS ORCH","OVERTURE TO A JAM SESSION PART 1",2
"DUKE ELLINGTON & HIS ORCH","IN A MELLOTONE",5
"DUKE ELLINGTON & HIS ORCH","Overture To A Jam Session - part 2",2
"DUKE ELLINGTON & HIS ORCH","KO KO",0
"DUKE ELLINGTON & HIS ORCH","Tulip Or Turnip (v Ray Nance)",2
"DUKE ELLINGTON & HIS ORCH","AT A DIXIE ROADSIDE DINER",0
"DUKE ELLINGTON & HIS ORCH","SO FAR, SO GOOD",0
"DUKE ELLINGTON & HIS ORCH","It Shouldn't Happen To A Dream (v Al Hibbler)",2
"DUKE ELLINGTON & HIS ORCH","Happy Go Lucky Local - part 1",3
"DUKE ELLINGTON & HIS ORCH","BLUES I LOVE TO SING vocal Adelaide Hall",3
"DUKE ELLINGTON & HIS ORCH","MOOD INDIGO",4
"DUKE ELLINGTON FAMOUS ORCH","Happy Go Lucky Local - part 2",3
"DUKE ELLINGTON ORCH","MAIN STEM",0
"DUKE ELLINGTON'S ORCH","ON THE SUNNY SIDE OF THE STREET",4
"DUKE ELLINGTON'S ORCH","I COULD GET A MAN",4
"Dicky Wells And His Orchestra","Sweet Sue, Just You",0
"Dinah Washington With Lionel Hampton Septet","Salty Papa Blues",2
"Dizzy Gillespie Quintet","Hot House",0
"Dizzy Gillespie Sextet","Groovin' High",0
"Django Reinhardt","Féerie",0
"Django Reinhardt","Studio 24",0
"Django Reinhardt","Lover Man",3
"Django Reinhardt","Blues Clair",3
"Django Reinhardt","Please Be Kind",3
"Django Reinhardt","St. Louis Blues",4
"Django Reinhardt","Nymphéas",0
"Django Reinhardt","I've Got My Love To Keep Me Warm",3
"Django Reinhardt","Blue Lou",0
"Django Reinhardt","You Rascal You",0
"Django Reinhardt","Blues En Mineur",0
"Django Reinhardt","Sweet Georgia Brown",0
"Django Reinhardt","Budding Dancers",0
"Django Reinhardt","Bouncing Around",3
"Django Reinhardt",R-Vingt-Six,0
"Django Reinhardt - Stan Brenders Et Son Grand Orchestre De Danse",Dynamisme,0
"Django Reinhardt - Stan Brenders Et Son Grand Orchestre De Danse","Chez Moi À Six Heures",0
"Django Reinhardt - Stan Brenders Et Son Grand Orchestre De Danse","Tons D'Ébène",0
"Django Reinhardt - Stan Brenders Et Son Grand Orchestre De Danse","Eclats De Cuivres",3
"Django Reinhardt Acc By Stan Brenders Et Son Grand Orchestre De Danse","Divine Beguine (Begin The Beguine)",0
"Django Reinhardt Acc By The Glenn Miller All Stars","If Dreams Come True",0
"Django Reinhardt Acc By The Glenn Miller All Stars",Hallelujah,0
"Django Reinhardt Acc By The Glenn Miller All Stars","How High The Moon",0
"Django Reinhardt Acc By The Glenn Miller All Stars","Stompin' At The Savoy",4
"Django Reinhardt Acc Par Le Quintette Du Hot Club De France","Douce Ambiance",0
"Django Reinhardt Acc Par Le Quintette Du Hot Club De France",Oui,0
"Django Reinhardt Acc Par Le Quintette Du Hot Club De France","Manoir De Mes Rêves",3
"Django Reinhardt Acc Par Le Quintette Du Hot Club De France",Cavalerie,0
"Django Reinhardt And His American Swing Band","Are You In The Mood ?",3
"Django Reinhardt And His American Swing Band","Swing Guitars",0
"Django Reinhardt And His Band From ""Le Boeuf Sur Le Toit""/Django Reinhardt Et Son Quintette","Minor Blues",0
"Django Reinhardt Et Le Quintette Du Hot Club Avec Stephane Grappelly","Echoes Of France (La Marseillaise)",0
"Django Reinhardt Et Le Quintette Du Hot Club Avec Stephane Grappelly","Love's Melody [Melodie Au Crepuscule]",3
"Django Reinhardt Et Le Quintette Du Hot Club Avec Stephane Grappelly","Embraceable You",0
"Django Reinhardt Et Le Quintette Du Hot Club Avec Stephane Grappelly","Django's Tiger",0
"Django Reinhardt Et Le Quintette Du Hot Club Avec Stephane Grappelly",Coquette,3
"Django Reinhardt Et Le Quintette Du Hot Club De France","Brick Top",0
"Django Reinhardt Et Le Quintette Du Hot Club De France","I Won't Dance",3
"Django Reinhardt Et Le Quintette Du Hot Club De France","On The Sunny Side Of The Street",5
"Django Reinhardt Et Le Quintette Du Hot Club De France","For Sentimental Reasons",3
"Django Reinhardt Et Le Quintette Du Hot Club De France","Mike [Micro, Swing Dynamique]",2
"Django Reinhardt Et Le Quintette Du Hot Club De France","Festival 48",2
"Django Reinhardt Et Le Quintette Du Hot Club De France","Swing 48",0
"Django Reinhardt Et Le Quintette Du Hot Club De France","Medley-To Each His Own-Symphony",0
"Django Reinhardt Et Le Quintette Du Hot Club De France",Diminishing,0
"Django Reinhardt Et Le Quintette Du Hot Club De France",Vette,0
"Django Reinhardt Et Le Quintette Du Hot Club De France","Anniversary Song",0
"Django Reinhardt Et Le Quintette Du Hot Club De France","Blues For Barclay",0
"Django Reinhardt Et Le Quintette Du Hot Club De France","Yours And Mine",0
"Django Reinhardt Et Le Quintette Du Hot Club De France",Fantaisie,4
"Django Reinhardt Et Le Quintette Du Hot Club De France",Eveline,0
"Django Reinhardt Et Le Quintette Du Hot Club De France","Folie À Amphion",0
"Django Reinhardt Et Le Quintette Du Hot Club De France","Swingtime In Springtime",4
"Django Reinhardt Et Le Quintette Du Hot Club De France","Just For Fun",0
"Django Reinhardt Et Son (Fud Candrix) Orchestre",ABC,0
"Django Reinhardt Et Son (Fud Candrix) Orchestre",Oubli,0
"Django Reinhardt Et Son (Fud Candrix) Orchestre","Zuiderzee Blues",3
"Django Reinhardt Et Son Grand Orchestre","Place De Brouckere",0
"Django Reinhardt Et Son Orchestre","Blues D'autrefois",3
"Django Reinhardt Et Son Orchestre","Mélodie Au Crépuscule",3
"Django Reinhardt Et Son Orchestre",Gaiement,3
"Django Reinhardt Et Son Quintette Du Hot Club De France","Just One Of Those Things",0
"Django Reinhardt Et Son Quintette Du Hot Club De France","Songe D'automne",0
"Django Reinhardt Et Son Quintette Du Hot Club De France","Duke And Dukie",0
"Django Reinhardt Stephane Grappelly","It Had To Be You",3
"Django's Music","At The Jimmy's Bar",0
"Django's Music","Artillerie Lourde (Heavy Artillery)",3
"Duke Ellington","In The Mood",4
"Duke Ellington",Blues,3
"Duke Ellington","Harlem Air Shaft",0
"Duke Ellington","The Big Drag",4
"Duke Ellington","Dancers In Love",0
"Duke Ellington","All Of Me (Johnny Hodges, As)",4
"Duke Ellington","Honeysuckle Rose",0
"Duke Ellington","Happy-Go-Lucky Local",0
"Duke Ellington","Villes Ville Is The Place, Man",4
"Duke Ellington","Harlem Air Shaft (Alt)",0
"Duke Ellington","Lover Man",2
"Duke Ellington","Chile Bowl",1
"Duke Ellington","Band Call",3
"Duke Ellington","Jam With Sam",0
"Duke Ellington","One O'clock Jump",4
"Duke Ellington","Stompin' At The Savoy",0
"Duke Ellington","Theme For Trambean",2
"Duke Ellington","Blues In Orbit (Alt Tk)",0
"Duke Ellington","Flying Home",0
"Duke Ellington","All Day Long",3
"Duke Ellington","Things Ain't What They Used To Be (Johnny Hodges, As)",5
"Duke Ellington","It Don't Mean A Thing If It Ain't Got That Swing",0
"Duke Ellington","Beer Garden",1
"Duke Ellington","More Blues",0
"Duke Ellington","Diminuendo In Blue And Crescendo In Blue",0
"Duke Ellington","Lover Come Back To Me",1
"Duke Ellington","Lady Be Good",0
"Duke Ellington","Black Beauty",0
